epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
189,2303.98,1.32289,0.72233,1.11305,0.84773,0.5841,0.66292,0.37174,1.28794,0.58951,0.99367,0.003796,0.003796,0.003796
190,3455.06,1.3405,0.73404,1.12293,0.84731,0.58428,0.66277,0.37185,1.28782,0.58945,0.99375,0.003763,0.003763,0.003763
191,4601.27,1.35461,0.7419,1.12831,0.84845,0.5843,0.66312,0.37206,1.28791,0.58926,0.99381,0.00373,0.00373,0.00373
192,5750.02,1.36427,0.75161,1.13274,0.85102,0.58284,0.66285,0.37178,1.28778,0.58947,0.99373,0.003697,0.003697,0.003697
193,6901.02,1.36591,0.75153,1.13416,0.85104,0.5826,0.6629,0.37178,1.28754,0.58889,0.99361,0.003664,0.003664,0.003664
194,8052.09,1.3769,0.75854,1.13496,0.85031,0.58214,0.66254,0.37183,1.28721,0.58894,0.99347,0.003631,0.003631,0.003631
195,9201.07,1.38343,0.76157,1.13748,0.84961,0.5828,0.66268,0.37186,1.28702,0.58869,0.99332,0.003598,0.003598,0.003598
196,10355.4,1.38415,0.76394,1.13617,0.85013,0.58304,0.66297,0.37182,1.28672,0.58865,0.99312,0.003565,0.003565,0.003565
197,11491,1.3895,0.7644,1.14023,0.85152,0.58237,0.66309,0.37196,1.28649,0.58857,0.99296,0.003532,0.003532,0.003532
198,12624.9,1.38593,0.76774,1.14297,0.85205,0.58237,0.66329,0.37211,1.28631,0.5886,0.99277,0.003499,0.003499,0.003499
199,13772.4,1.39368,0.77556,1.14407,0.85288,0.58245,0.66365,0.3722,1.28624,0.58848,0.99264,0.003466,0.003466,0.003466
200,1137.27,1.27104,0.68769,1.09215,0.85222,0.58275,0.66378,0.37237,1.28666,0.58801,0.99286,0.003433,0.003433,0.003433
201,2289.04,1.3093,0.71195,1.10917,0.85108,0.58267,0.66363,0.37232,1.2869,0.58803,0.99305,0.0034,0.0034,0.0034
202,3417.05,1.32896,0.72267,1.11598,0.84926,0.5836,0.66351,0.37238,1.28713,0.58821,0.99316,0.003367,0.003367,0.003367
203,4570.1,1.34036,0.73085,1.12064,0.84761,0.58423,0.6634,0.37232,1.28731,0.588,0.99325,0.003334,0.003334,0.003334
204,5717.79,1.35262,0.7414,1.12524,0.84933,0.58232,0.66336,0.37244,1.2873,0.58814,0.99318,0.003301,0.003301,0.003301
205,6855.49,1.35524,0.74108,1.12995,0.84968,0.58179,0.66342,0.37236,1.28695,0.58794,0.9931,0.003268,0.003268,0.003268
206,8005.3,1.36663,0.75,1.13039,0.84939,0.58202,0.66368,0.3725,1.28686,0.58787,0.99286,0.003235,0.003235,0.003235
207,9156.32,1.37296,0.75333,1.13268,0.84864,0.5829,0.66373,0.3724,1.28685,0.58771,0.99285,0.003202,0.003202,0.003202
208,10316.5,1.37601,0.75751,1.13184,0.84794,0.58365,0.66371,0.3724,1.28645,0.58739,0.99258,0.003169,0.003169,0.003169
209,11474.3,1.38147,0.75684,1.13512,0.85056,0.58302,0.66373,0.37253,1.28576,0.58706,0.99218,0.003136,0.003136,0.003136
210,12614.1,1.378,0.75884,1.13907,0.85207,0.58317,0.66421,0.37283,1.28511,0.58661,0.99196,0.003103,0.003103,0.003103
211,13759.1,1.38627,0.7673,1.14022,0.85124,0.58337,0.66397,0.37296,1.28426,0.58638,0.99181,0.00307,0.00307,0.00307
212,14883.9,1.38434,0.75959,1.14377,0.851,0.5836,0.66439,0.37316,1.28361,0.58613,0.99156,0.003037,0.003037,0.003037
213,1086.77,1.25808,0.67877,1.08563,0.85048,0.58392,0.66479,0.37353,1.28983,0.58796,0.99342,0.003004,0.003004,0.003004
214,2179.31,1.29494,0.70133,1.10009,0.8491,0.58443,0.66465,0.37334,1.29019,0.58785,0.99357,0.002971,0.002971,0.002971
215,3258.59,1.31444,0.71229,1.10922,0.8489,0.58448,0.66453,0.37331,1.29065,0.58797,0.99366,0.002938,0.002938,0.002938
216,4330.8,1.32749,0.71963,1.11684,0.84954,0.58418,0.66462,0.3733,1.29061,0.58804,0.99378,0.002905,0.002905,0.002905
217,5409.31,1.33891,0.72839,1.12028,0.84866,0.58425,0.66455,0.37342,1.29063,0.5881,0.99371,0.002872,0.002872,0.002872
218,1094.7,1.23936,0.66797,1.07737,0.84825,0.5842,0.66465,0.37345,1.29109,0.58821,0.99388,0.002839,0.002839,0.002839
219,2216.25,1.28263,0.69286,1.09464,0.84727,0.5841,0.6644,0.37329,1.29167,0.58797,0.99404,0.002806,0.002806,0.002806
220,3328.75,1.30726,0.7061,1.10542,0.84852,0.58372,0.66411,0.37325,1.29171,0.58796,0.99408,0.002773,0.002773,0.002773
221,4442.32,1.32096,0.71513,1.1126,0.84881,0.5838,0.66417,0.3733,1.29198,0.58785,0.99423,0.00274,0.00274,0.00274
222,1086.92,1.22504,0.65975,1.07217,0.84794,0.58347,0.66417,0.37332,1.29273,0.58791,0.99454,0.002707,0.002707,0.002707
223,2171.02,1.27444,0.68622,1.09201,0.84833,0.58342,0.66418,0.37334,1.29321,0.58806,0.99473,0.002674,0.002674,0.002674
224,3262.5,1.30156,0.70136,1.10239,0.84821,0.58385,0.66443,0.37323,1.29354,0.58811,0.99475,0.002641,0.002641,0.002641
225,4357.34,1.31775,0.71207,1.11121,0.84819,0.58352,0.66455,0.37326,1.2938,0.58829,0.99476,0.002608,0.002608,0.002608
226,5449.56,1.33324,0.72307,1.11883,0.84708,0.58448,0.66447,0.37312,1.29408,0.58871,0.99483,0.002575,0.002575,0.002575
227,6538.79,1.33752,0.72567,1.12215,0.84755,0.5841,0.66452,0.37317,1.29416,0.5886,0.99487,0.002542,0.002542,0.002542
228,7635.69,1.34903,0.73461,1.12352,0.84855,0.58345,0.66464,0.37323,1.29368,0.5884,0.99471,0.002509,0.002509,0.002509
229,8746.63,1.35539,0.7353,1.12398,0.84817,0.58355,0.66483,0.37341,1.29322,0.58832,0.99455,0.002476,0.002476,0.002476
230,9846.33,1.35797,0.73968,1.12542,0.84836,0.58402,0.66514,0.37328,1.29265,0.58772,0.9943,0.002443,0.002443,0.002443
231,1099.87,1.21118,0.65165,1.06591,0.84861,0.58345,0.66504,0.37324,1.29348,0.58772,0.99463,0.00241,0.00241,0.00241
232,2217.37,1.25764,0.67485,1.08389,0.84779,0.5835,0.66469,0.37311,1.29418,0.58789,0.99488,0.002377,0.002377,0.002377
233,2201.98,1.25878,0.67563,1.08589,0.84768,0.58387,0.66504,0.37312,1.2888,0.58597,0.99344,0.002344,0.002344,0.002344
234,3284.21,1.28648,0.69144,1.0972,0.84739,0.58392,0.66511,0.37327,1.28917,0.58621,0.99354,0.002311,0.002311,0.002311
235,4358.38,1.30481,0.70229,1.1069,0.8481,0.58377,0.66525,0.37327,1.28926,0.58622,0.99362,0.002278,0.002278,0.002278
236,5432.57,1.32131,0.71315,1.11299,0.84725,0.5847,0.66518,0.37322,1.28927,0.58615,0.99355,0.002245,0.002245,0.002245
237,6516.72,1.32603,0.71539,1.11711,0.84453,0.58585,0.66535,0.37352,1.28886,0.58606,0.99348,0.002212,0.002212,0.002212
238,7617.09,1.33912,0.72296,1.11717,0.84476,0.5854,0.66516,0.37336,1.28856,0.58596,0.99333,0.002179,0.002179,0.002179
239,8704.71,1.34617,0.72813,1.11919,0.8433,0.58563,0.66491,0.37337,1.28812,0.58557,0.993,0.002146,0.002146,0.002146
240,9797.47,1.35097,0.73197,1.1199,0.84378,0.58523,0.66493,0.37362,1.28739,0.58529,0.9927,0.002113,0.002113,0.002113
241,10891.2,1.35824,0.73169,1.12681,0.84416,0.58646,0.66568,0.37371,1.28653,0.58503,0.99234,0.00208,0.00208,0.00208
242,11983.3,1.35443,0.73441,1.12782,0.84591,0.58543,0.66597,0.37392,1.28583,0.58456,0.99193,0.002047,0.002047,0.002047
243,13077.4,1.36306,0.74396,1.13133,0.84816,0.5853,0.66617,0.37403,1.28511,0.58432,0.99168,0.002014,0.002014,0.002014
244,14167.3,1.36137,0.73726,1.13246,0.84937,0.58473,0.66633,0.37445,1.28429,0.584,0.9913,0.001981,0.001981,0.001981
245,1089.58,1.19979,0.643,1.05988,0.85011,0.58408,0.66614,0.37438,1.28486,0.58389,0.99158,0.001948,0.001948,0.001948
246,2194.92,1.24085,0.663,1.07689,0.84947,0.58443,0.66614,0.37421,1.28543,0.58373,0.99193,0.001915,0.001915,0.001915
247,3266.07,1.26911,0.67701,1.08822,0.84816,0.5851,0.66629,0.37424,1.28589,0.58389,0.99214,0.001882,0.001882,0.001882
248,4339.18,1.28538,0.68762,1.09675,0.84871,0.58465,0.66634,0.37424,1.28625,0.58403,0.99242,0.001849,0.001849,0.001849
249,1224.92,1.18179,0.6337,1.05348,0.84908,0.58475,0.66674,0.37416,1.29331,0.58624,0.99453,0.001816,0.001816,0.001816
250,2464.18,1.23063,0.65694,1.07241,0.8489,0.58407,0.66633,0.37405,1.29415,0.5863,0.99505,0.001783,0.001783,0.001783
251,3721.09,1.26191,0.67302,1.0844,0.84739,0.58495,0.66612,0.3738,1.29469,0.58676,0.99526,0.00175,0.00175,0.00175
252,4959.92,1.28064,0.68338,1.09379,0.84487,0.58585,0.66621,0.37395,1.29492,0.58687,0.99531,0.001717,0.001717,0.001717
253,1061.99,1.16681,0.6257,1.04798,0.8466,0.58475,0.66566,0.37366,1.28972,0.58562,0.99397,0.001684,0.001684,0.001684
254,2141.7,1.22007,0.65059,1.06712,0.84639,0.58515,0.66575,0.37341,1.29058,0.58609,0.99434,0.001651,0.001651,0.001651
255,3217.74,1.25561,0.66862,1.08323,0.84496,0.58595,0.66565,0.37337,1.29083,0.58625,0.9945,0.001618,0.001618,0.001618
256,4269.67,1.27693,0.6814,1.09235,0.84431,0.58593,0.66559,0.37341,1.29085,0.58643,0.99444,0.001585,0.001585,0.001585
257,5323.85,1.29782,0.69151,1.09973,0.84194,0.58711,0.66568,0.37342,1.29078,0.58636,0.99422,0.001552,0.001552,0.001552
258,6382.13,1.3024,0.69511,1.10439,0.84214,0.58693,0.66552,0.37356,1.29051,0.58589,0.99396,0.001519,0.001519,0.001519
259,7441.58,1.31672,0.70384,1.10616,0.84272,0.58724,0.66573,0.37377,1.29002,0.58571,0.99364,0.001486,0.001486,0.001486
260,8499.35,1.32341,0.70725,1.11019,0.84244,0.58775,0.66592,0.37397,1.28939,0.5851,0.99322,0.001453,0.001453,0.001453
261,9560.19,1.32936,0.71132,1.1137,0.84329,0.58786,0.66618,0.37424,1.28873,0.58461,0.99295,0.00142,0.00142,0.00142
262,10622.3,1.33732,0.71112,1.11822,0.84406,0.58743,0.66595,0.37413,1.28787,0.58447,0.99257,0.001387,0.001387,0.001387
263,11682.2,1.33325,0.71532,1.12144,0.84361,0.58755,0.66615,0.37433,1.28684,0.58387,0.99213,0.001354,0.001354,0.001354
264,1136.65,1.15695,0.61888,1.04339,0.84354,0.58768,0.66615,0.37414,1.29372,0.58596,0.9942,0.001321,0.001321,0.001321
265,2276.18,1.20103,0.63843,1.05948,0.84475,0.58723,0.66618,0.37415,1.29485,0.58649,0.99472,0.001288,0.001288,0.001288
266,3430.45,1.23471,0.655,1.0732,0.84538,0.58693,0.66606,0.37399,1.29549,0.58687,0.99506,0.001255,0.001255,0.001255
267,4544.46,1.25675,0.66675,1.08439,0.84663,0.58633,0.6659,0.37388,1.2958,0.58707,0.99535,0.001222,0.001222,0.001222
268,1125.82,1.1417,0.61141,1.03788,0.8457,0.58683,0.66611,0.37376,1.29697,0.58779,0.99582,0.001189,0.001189,0.001189
269,2241.59,1.19095,0.63261,1.05545,0.84664,0.58581,0.66564,0.37375,1.29817,0.58833,0.99642,0.001156,0.001156,0.001156
270,3356.92,1.22792,0.65075,1.06984,0.8475,0.5853,0.66545,0.3735,1.29872,0.58849,0.99659,0.001123,0.001123,0.001123
271,4481.77,1.25181,0.66396,1.08213,0.84538,0.58607,0.66535,0.37343,1.29905,0.58887,0.9967,0.00109,0.00109,0.00109
272,5600.25,1.27557,0.67488,1.09134,0.84517,0.58653,0.66542,0.37349,1.29887,0.58907,0.99648,0.001057,0.001057,0.001057
273,1093.37,1.12754,0.60426,1.03216,0.84441,0.58613,0.66509,0.37336,1.29371,0.58807,0.99529,0.001024,0.001024,0.001024
274,2180.41,1.17753,0.62512,1.04988,0.84389,0.58626,0.66501,0.37326,1.29465,0.58856,0.99581,0.000991,0.000991,0.000991
275,3260.85,1.21776,0.64405,1.06607,0.84412,0.58578,0.66495,0.37305,1.29536,0.58891,0.9961,0.000958,0.000958,0.000958
276,4346.27,1.24561,0.65839,1.07877,0.8424,0.5869,0.66497,0.37304,1.29544,0.58941,0.99615,0.000925,0.000925,0.000925
277,5439.99,1.27039,0.67072,1.08888,0.84232,0.58678,0.66485,0.37319,1.29513,0.58932,0.996,0.000892,0.000892,0.000892
278,1142.66,1.11527,0.5979,1.02743,0.84082,0.58731,0.66478,0.3729,1.3025,0.59187,0.99825,0.000859,0.000859,0.000859
279,2283.38,1.1662,0.61905,1.04525,0.84395,0.58585,0.66491,0.37275,1.30376,0.5925,0.99877,0.000826,0.000826,0.000826
280,3427.78,1.20781,0.63806,1.06257,0.84445,0.58575,0.66461,0.37261,1.30431,0.59287,0.99908,0.000793,0.000793,0.000793
281,4586.65,1.23842,0.65339,1.07576,0.84327,0.58618,0.66459,0.37264,1.30427,0.59317,0.999,0.00076,0.00076,0.00076
282,1071.85,1.10559,0.59282,1.02348,0.84435,0.58543,0.66431,0.37265,1.29927,0.59209,0.99787,0.000727,0.000727,0.000727
283,2158.35,1.1577,0.61416,1.04209,0.84253,0.58616,0.66455,0.37258,1.30017,0.59255,0.99832,0.000694,0.000694,0.000694
284,3237.51,1.2012,0.63412,1.05882,0.8429,0.58524,0.66408,0.37246,1.30055,0.59283,0.99836,0.000661,0.000661,0.000661
285,4333.87,1.23408,0.64966,1.07397,0.84338,0.58503,0.66403,0.37232,1.30033,0.59278,0.99818,0.000628,0.000628,0.000628
286,5445.25,1.26458,0.66403,1.08665,0.84415,0.58545,0.664,0.37223,1.29981,0.59234,0.99785,0.000595,0.000595,0.000595
287,6560.32,1.27191,0.66711,1.09246,0.84378,0.58563,0.66425,0.37235,1.29907,0.59197,0.99744,0.000562,0.000562,0.000562
288,7669.46,1.28719,0.67566,1.09568,0.84415,0.58618,0.66458,0.37246,1.29826,0.59112,0.99711,0.000529,0.000529,0.000529
289,8767.13,1.29368,0.67957,1.09797,0.84573,0.58545,0.6646,0.37267,1.29763,0.5904,0.99673,0.000496,0.000496,0.000496
290,9843.23,1.30035,0.68375,1.09968,0.84514,0.5859,0.66478,0.37294,1.29679,0.58966,0.99628,0.000463,0.000463,0.000463
291,10908.7,1.32669,0.63501,1.13151,0.8454,0.58643,0.66497,0.37328,1.29557,0.58868,0.99566,0.00043,0.00043,0.00043
292,11968.2,1.32054,0.62984,1.12797,0.84554,0.58654,0.66549,0.37356,1.29392,0.58762,0.9947,0.000397,0.000397,0.000397
293,13011.4,1.31684,0.6283,1.12711,0.84437,0.58784,0.66542,0.3739,1.29259,0.58664,0.99402,0.000364,0.000364,0.000364
294,14047.5,1.31798,0.62651,1.13016,0.84495,0.58783,0.66588,0.37406,1.29118,0.58593,0.99355,0.000331,0.000331,0.000331
295,1089.64,1.10821,0.58965,1.02419,0.84501,0.58787,0.66567,0.37398,1.29848,0.58836,0.9958,0.000298,0.000298,0.000298
296,2186.54,1.14525,0.60419,1.0363,0.84502,0.58735,0.66559,0.37378,1.29945,0.58913,0.9963,0.000265,0.000265,0.000265
297,3285.03,1.18014,0.6201,1.05037,0.84565,0.58718,0.66569,0.37371,1.30029,0.58951,0.99667,0.000232,0.000232,0.000232
298,4392.16,1.20968,0.63337,1.06413,0.84509,0.58727,0.66572,0.37358,1.30064,0.58971,0.99686,0.000199,0.000199,0.000199
299,5488.71,1.2407,0.6478,1.07635,0.84518,0.58746,0.66569,0.37354,1.30082,0.59011,0.99693,0.000166,0.000166,0.000166
300,1117.87,1.10369,0.58619,1.02302,0.84465,0.5876,0.66554,0.37343,1.30164,0.59052,0.99723,0.000133,0.000133,0.000133

